Фамилия;Имя;Отчество;День рождения;Должность?;Состоит в комитетах;Дата подтверждения полномочий;Срок окончания полномочий;Адрес email;Телефоны;Адрес приемной в субъекте Российской Федерации;Телефоны приемной в субъекте Российской Федерации;ID региона
Брынцалов;Игорь;Юрьевич;07.06.1971;Представитель от законодательного (представительного) органа государственной власти Московской области;Первый заместитель председателя Комитета Совета Федерации по образованию и науке, Член Комиссии Совета Федерации по культуре, Член Комиссии Совета Федерации по вопросам развития институтов гражданского общества;16.01.2002;март 2012;IYBryncalov@council.gov.ru;692-80-77,986-65-22;103070, г. Москва, Старая пл., д. 6;(495) 606-71-73, факс 606-71-62;280044
Бушмин;Евгений;Викторович;04.10.1958;Представитель от исполнительного органа государственной власти Ростовской области;Председатель Комитета Совета Федерации по бюджету;21.09.2005;;EVbushmin@council.gov.ru;692-12-83,986-62-83;344050, г. Ростов на Дону, просп. Соколова, д.15, ком. 24;240-59-31 т/факс;280079
Василишин;Эдуард;Николаевич;12.08.1967;Представитель от законодательного (представительного) органа государственной власти Брянской области;Член Комитета Совета Федерации по социальной политике и здравоохранению, Член Комиссии Совета Федерации по естественным монополиям;21.09.2005;март 2014;ENVasilishin@council.gov.ru;692-24-83,986-64-48;241050, г. Брянск, пл. К. Маркса, д. 2;(8-483-2) тел./факс 74-38-36;279978
Васьков;Анатолий;Тихонович;15.09.1943;Представитель от исполнительного органа государственной власти Тульской области;Первый заместитель председателя Комиссии Совета Федерации по жилищной политике и жилищно-коммунальному хозяйству, Член Комитета Совета Федерации по природным ресурсам и охране окружающей среды, Член Комиссии Совета Федерации по контролю за обеспечением деятельности Совета Федерации;13.07.2005;апрель 2015;ATVaskov@council.gov.ru;692-43-16,986-60-11;300600, г. Тула, пл. Ленина, д.2;(8-487-2) 32-80-59, факс 31-12-31;280109
Волков;Николай;Михайлович;19.12.1951;Представитель от исполнительного органа государственной власти Еврейской автономной области;Член Комитета Совета Федерации по конституционному законодательству;03.03.2010;февраль 2015;NMVolkov@council.gov.ru;692-31-36,986-66-59;;;279960
Воробьев;Юрий;Леонидович;02.02.1948;Представитель от законодательного (представительного) органа государственной власти Вологодской области;Заместитель Председателя Совета Федерации, Член Комитета Совета Федерации по делам Севера и малочисленных народов, Член Комиссии Совета Федерации по национальной морской политике;04.05.2007;март 2012;JLVorobev@council.gov.ru;986-65-49;;;279987
Галлямов;Амир;Наилевич;09.05.1970;Представитель от законодательного (представительного) органа государственной власти Амурской области;Заместитель председателя Комиссии Совета Федерации по контролю за обеспечением деятельности Совета Федерации, Член Комитета Совета Федерации по делам Федерации и региональной политике, Член Комиссии Совета Федерации по физической культуре, спорту и развитию олимпийского движения;11.07.2007;март 2012;ANGallyamov@council.gov.ru;692-30-17,986-60-40;675000, г. Благовещенск, ул. Ленина, д. 135;(8-416-2) 44-12-44;279963
Гаттаров;Руслан;Усманович;09.01.1977;Представитель от исполнительного органа государственной власти Челябинской области;Член Комитета Совета Федерации по образованию и науке, Член Комиссии Совета Федерации по информационной политике;26.05.2010;апрель 2015;;697-86-98,6-72-34;;;280124
Геремеев;Сулейман;Садулаевич;20.01.1971;Представитель от исполнительного органа государственной власти Чеченской Республики;Член Комитета Совета Федерации по образованию и науке;03.02.2010;апрель 2011;SSGeremeev@council.gov.ru;697-96-54,6-77-89;;;279930
Глухих;Виктор;Константинович;30.05.1946;Представитель от исполнительного органа государственной власти Ярославской области;Заместитель председателя Комиссии Совета Федерации по естественным монополиям, Член Комитета Совета Федерации по промышленной политике;31.10.2001;декабрь 2012;VKGluhih@council.gov.ru;692-18-93,986-65-85;150000, Ярославль, Советская ул. д. 3 к. 308;(8-485-2) 32-78-24, факс 32-98-86;280133
Горбунов;Геннадий;Александрович;01.01.1946;Представитель от законодательного (представительного) органа государственной власти Астраханской области;Председатель Комитета Совета Федерации по аграрно-продовольственной политике и рыбохозяйственному комплексу, Член Комиссии Совета Федерации по информационной политике, Член Комиссии Совета Федерации по жилищной политике и жилищно-коммунальному хозяйству;25.12.2001;октябрь 2011;GAGorbunov@council.gov.ru;692-57-27,986-60-78;414000, г. Астрахань, ул. Советская, д.14, ком. 41;(8-851-2) 22-88-43, факс 39-46-03;279972
Гордеев;Сергей;Эдуардович;22.11.1972;Представитель от исполнительного органа государственной власти Пермского края;Член Комитета Совета Федерации по экономической политике, предпринимательству и собственности, Член Комиссии Совета Федерации по культуре;19.07.2007;декабрь 2010;SEGordeev@council.gov.ru;629-73-13,986-66-98;;;1638839
Губайдуллин;Экзам;Саматович;15.07.1953;Представитель от исполнительного органа государственной власти Республики Татарстан;Заместитель председателя Комиссии Совета Федерации по физической культуре, спорту и развитию олимпийского движения, Член Комитета Совета Федерации по природным ресурсам и охране окружающей среды;11.05.2005;март 2015;ESGubaydullin@council.gov.ru;692-61-56,986-60-66;420014, г. Казань, Кремль, представительский корпус , ком. 202;(8-843) 567-88-24, факс 567-88-27;279919
Гурьев;Андрей;Григорьевич;24.03.1960;Представитель от исполнительного органа государственной власти  Мурманской области;Член Комитета Совета Федерации по делам Севера и малочисленных народов, Член Комиссии Совета Федерации по национальной морской политике;23.11.2001;март 2014;AGGurev@council.gov.ru;629-20-78,986-64-05;183006, Мурманск, пр-т Ленина, д.75;(8-815-2) 48-62-01, факс 45-10-54;280047
Гусев;Владимир;Кузьмич;19.04.1933;Представитель от исполнительного органа государственной власти Саратовской области;Первый заместитель председателя Комитета Совета Федерации по экономической политике, предпринимательству и собственности, Член Комиссии Совета Федерации по жилищной политике и жилищно-коммунальному хозяйству;28.04.2010;апрель 2015;;692-19-73,986-69-73;;;280088
Густов;Вадим;Анатольевич;26.12.1948;Представитель от исполнительного органа государственной власти Владимирской области;Член Комитета Совета Федерации по делам Содружества Независимых Государств;28.02.2001;март 2013;VAGustov@council.gov.ru;692-07-18,986-63-63;;;279980
Дементьева;Наталия;Леонидовна;06.09.1945;Представитель от Государственного Собрания Республики Марий Эл;Член Комитета Совета Федерации по бюджету, Член Комиссии Совета Федерации по информационной политике, Член Комиссии Совета Федерации по физической культуре, спорту и развитию олимпийского движения;10.06.2004;октябрь 2009;NLDementeva@council.gov.ru;692-75-92,986-60-89;424001, г. Йошкар-Ола, Ленинский проспект, д.29, каб. 114;(8-836-2) 42-68-04;279910
Джабаров;Владимир;Михайлович;29.09.1952;Представитель от законодательного (представительного) органа государственной власти Еврейской автономной области;Заместитель председателя Комиссии Совета Федерации по вопросам развития институтов гражданского общества, Член Комиссии Совета Федерации по взаимодействию со Счетной палатой Российской Федерации, Член Комитета Совета Федерации по делам Содружества Независимых Государств;25.12.2009;октябрь 2011;VMDzhabarov@council.gov.ru;692-93-09ф,986-69-94;;;279960
Дзасохов;Александр;Сергеевич;03.04.1934;Представитель от органов исполнительной власти Республики Северная Осетия - Алания;Председатель Комиссии Совета Федерации по культуре, Член Комитета Совета Федерации по международным делам;22.06.2005;июнь 2010;ASDzasokhov@council.gov.ru;692-64-30,986-64-46;362038, г. Владикавказ, пл. Свободы, д.1, Дом Правительства;(8-8672) 53-35-56;279916
Дидигов;Мухарбек;Ильясович;21.10.1952;Представитель от исполнительного органа государственной власти Республики Ингушетия;Член Комитета Совета Федерации по финансовым рынкам и денежному обращению, Член Комиссии Совета Федерации по взаимодействию со Счетной палатой Российской Федерации, Член Комиссии Совета Федерации по жилищной политике и жилищно-коммунальному хозяйству;13.05.2009;октябрь 2013;MIDidigov@council.gov.ru;692-14-69, 697-54-58,6-71-97, 6-74-31;;;279892
Докшоков;Зураб;Хасамбиевич;13.09.1952;Представитель от законодательного (представительного) органа государственной власти Карачаево-Черкесской Республики;Член Комитета Совета Федерации по промышленной политике, Член Комиссии Совета Федерации по жилищной политике и жилищно-коммунальному хозяйству, Член Комиссии Совета Федерации по вопросам развития институтов гражданского общества;16.12.2009;март 2014;ZHDokshokov@council.gov.ru;697-81-09,6-79-86;;;279900
Долгушкин;Николай;Кузьмич;30.01.1949;Представитель от исполнительного органа государственной власти Оренбургской области;Заместитель председателя Комитета Совета Федерации по аграрно-продовольственной политике и рыбохозяйственному комплексу, Член Комиссии Совета Федерации по взаимодействию со Счетной палатой Российской Федерации;21.04.2004;июнь 2010;NKDolgushkin@council.gov.ru;629-88-10,986-69-57;460015, г. Оренбург, Дом Советов;(8-353-2) 77-63-31, факс 77-38-02;280061
Драгункина;Зинаида;Федоровна;21.11.1948;Представитель от законодательного (представительного) органа государственной власти города Москвы;Первый заместитель председателя Комиссии Совета Федерации по культуре, Член Комиссии Совета Федерации по Регламенту и организации парламентской деятельности, Член Комитета Совета Федерации по образованию и науке;26.10.2005;октябрь 2014;ZFDragunkina@council.gov.ru;692-81-13,986-68-74;127994, г. Москва, ул. Петровка, д. 22;(8-495) 650-71-50;280041
Дума;Василий;Михайлович;20.06.1954;Представитель от исполнительного органа государственной власти Костромской области;Заместитель председателя Комитета Совета Федерации по природным ресурсам и охране окружающей среды, Член Комиссии Совета Федерации по взаимодействию со Счетной палатой Российской Федерации;13.05.2004;октябрь 2012;VMDuma@council.gov.ru;692-14-89,986-63-34;156006, Кострома, ул.Дзержинского, д.15;(8-094-2) 31-34-72, факс 31-33-95;280018
Евтухов;Виктор;Леонидович;02.03.1968;Представитель от исполнительного органа государственной власти  города Санкт-Петербурга;Член Комитета Совета Федерации по делам Содружества Независимых Государств;25.11.2009;декабрь 2011;VLEvtuhov@council.gov.ru;623-29-88,986-60-27;;;280026
Егоров;Иннокентий;Николаевич;05.09.1956;Представитель от законодательного (представительного)  органа государственной власти Республики Бурятия;Член Комитета Совета Федерации по аграрно-продовольственной политике и рыбохозяйственному комплексу;22.12.2004;декабрь 2012;INEgorov@council.gov.ru;692-76-07,986-60-02;670001, г. Улан-Удэ, ул. Сухэ-Батора, д.9, ком. 221;(8-301-2) 21-35-40, тел./факс 21-47-22;279886
Жамбалнимбуев;Бато-Жаргал;;05.08.1948;Представитель от  Агинской Бурятской окружной Думы;Заместитель председателя Комиссии Совета Федерации по контролю за обеспечением деятельности Совета Федерации, Член Комиссии Совета Федерации по естественным монополиям, Член Комитета Совета Федерации по природным ресурсам и охране окружающей среды;28.02.2001;январь 2010;Jambalnimbuev@council.gov.ru;629-19-86, 697-61-74, 697-79-54,986-63-96;687000, Читинская обл., пос. Агинское, ул. Базара Ринчино, д.92;(8-302-39) 3-44-81, тел./факс 3-53-87;1649002
Жидких;Владимир;Александрович;11.11.1961;Представитель от законодательного (представительного) органа государственной власти Томской области;Председатель Комиссии Совета Федерации по делам молодежи и туризму, Член Комитета Совета Федерации по социальной политике и здравоохранению, Член Комиссии Совета Федерации по естественным монополиям;19.09.2007;март 2012;ZhidkihVA@council.gov.ru;692-63-05,986-68-88;634050, г. Томск, пл. Ленина, д. 6.;(8-382-2) 51-00-64;280106
Завадников;Валентин;Георгиевич;30.04.1963;Представитель от законодательного (представительного) органа государственной власти Саратовской области;Председатель Комитета Совета Федерации по промышленной политике;12.09.2001;декабрь 2012;zavadnikov@council.gov.ru;692-12-32,986-67-90;410028, г. Саратов, ул.Чернышевского, д.135, ком. 308;(8-845-2)  тел./факс 22-29-75;280088
Иванов;Сергей;Павлович;19.04.1952;Представитель от законодательного (представительного) органа государственной власти Магаданской области;Председатель Комиссии Совета Федерации по взаимодействию со Счетной палатой Российской Федерации, Член Комитета Совета Федерации по делам Севера и малочисленных народов, Член Комиссии Совета Федерации по национальной морской политике;02.06.2006;октябрь 2010;SPIvanov@council.gov.ru;692-04-27,986-60-30;685000, г. Магадан, ул. Горького, д. 8 А;(8-413-22) 62-54-95;280035
Искужин;Рудик;Газизович;28.07.1950;Представитель от законодательного (представительного) органа государственной власти  Республики Башкортостан;Заместитель председателя Комиссии Совета Федерации по контролю за обеспечением деятельности Совета Федерации, Член Комитета Совета Федерации по правовым и судебным вопросам, Член Комиссии Совета Федерации по естественным монополиям;27.12.2006;март 2013;RGIskujin@council.gov.ru;692-58-23,986-64-91;450057, г. Уфа, ул. Фрунзе, д. 46, комн. 419;(8-347) 250-44-22;279883
Кавджарадзе;Максим;Геннадьевич;10.06.1969;Представитель от законодательного (представительного) органа государственной власти Липецкой области;Заместитель председателя Комитета Совета Федерации по аграрно-продовольственной политике и рыбохозяйственному комплексу, Член Комиссии Совета Федерации по делам молодежи и туризму, Член Комиссии Совета Федерации по физической культуре, спорту и развитию олимпийского движения;25.12.2001;октябрь 2011;MGKavdjaradze@council.gov.ru;692-10-96,986-63-52;398014, Липецк, Соборная площадь, д.1;(8-474-2) 74-35-08, факс 72-24-15;280032
Кадохов;Валерий;Тотразович;07.01.1945;Представитель от законодательного (представительного) органа государственной власти Республики Северная Осетия - Алания;Первый заместитель председателя Комитета Совета Федерации по делам Федерации и региональной политике, Член Комиссии Совета Федерации по взаимодействию со Счетной палатой Российской Федерации;09.11.2000;декабрь 2012;VTKadohov@council.gov.ru;692-18-95,986-62-47;362025, г. Владикавказ, ул. Ватутина, д.17, ком. 201;(8-867-2)  54-48-48, факс 54-34-43;279916
Кажаров;Альберт;Хатуевич;08.01.1965;Представитель от законодательного (представительного) органа государственной власти Кабардино-Балкарской Республики;Заместитель председателя Комиссии Совета Федерации по Регламенту и организации парламентской деятельности, Член Комитета Совета Федерации по финансовым рынкам и денежному обращению, Член Комиссии Совета Федерации по информационной политике;13.05.2009;март 2014;AHKazharov@council.gov.ru;692-62-45ф, 697-64-41,986-64-32, 986-64-94;;;279895
Калинин;Юрий;Иванович;28.10.1946;Представитель от законодательного (представительного) органа государственной власти Пензенской области;Заместитель председателя Комитета Совета Федерации по правовым и судебным вопросам, Заместитель председателя Комиссии Совета Федерации по взаимодействию со Счетной палатой Российской Федерации, Заместитель председателя Комиссии Совета Федерации по вопросам развития институтов гражданского общества;31.03.2010;декабрь 2012;UIKalinin@council.gov.ru;692-30-39,986-61-38;;;280067
Капура;Михаил;Михайлович;08.07.1961;Представитель от исполнительного органа государственной власти Республики Калмыкия;Заместитель председателя Комитета Совета Федерации по правовым и судебным вопросам, Член Комиссии Совета Федерации по контролю за обеспечением деятельности Совета Федерации, Член Комиссии Совета Федерации по физической культуре, спорту и развитию олимпийского движения;23.11.2005;октябрь 2010;MMKapura@council.gov.ru;692-42-27,986-60-33;358000, г. Элиста Дом Правительства;Тел.: (8-847-22) 3-30-88, 3-38-93, факс 3-41-58;279898
Керимов;Сулейман;Абусаидович;12.03.1966;Представитель от законодательного (представительного) органа государственной власти Республики Дагестан;Член Комитета Совета Федерации по финансовым рынкам и денежному обращению;20.02.2008;март 2011;SAKerimov@council.gov.ru;692-80-56ф,986-67-66;;;279889
Кикоть;Владимир;Яковлевич;01.01.1952;Представитель от исполнительного органа государственной власти Приморского края;Заместитель председателя Комиссии Совета Федерации по Регламенту и организации парламентской деятельности, Член Комитета Совета Федерации по социальной политике и здравоохранению;28.04.2010;февраль 2015;VYKikot@council.gov.ru;692-10-54,986-69-39;;;279951
Киричук;Степан;Михайлович;18.05.1949;Представитель от исполнительного органа государственной власти Тюменской области;Председатель Комитета Совета Федерации по вопросам местного самоуправления, Член Комиссии Совета Федерации по естественным монополиям, Член Комиссии Совета Федерации по вопросам развития институтов гражданского общества;23.03.2005;ноябрь 2010;SMKirichuk@council.gov.ru;692-57-38, 692-75-50,986-60-71;625018, г. Тюмень, ул.  Республики, д. 52, к. 535;(8-345-2) 46-56-27, тел./факс 46-56-19;280112
Комаров;Андрей;Ильич;11.10.1966;Представитель от законодательного (представительного) органа государственной власти Челябинской области;Заместитель председателя Комитета Совета Федерации по природным ресурсам и охране окружающей среды;21.09.2005;октябрь 2010;AIKomarov@council.gov.ru;695-34-97,986-64-07;454009, г. Челябинск, ул. Кирова, д.114, комн. 319;(8-351) 239-88-47;280124
Кондратенко;Николай;Игнатович;16.02.1940;Представитель от законодательного (представительного) органа государственной власти Краснодарского края;Член Комитета Совета Федерации по аграрно-продовольственной политике и рыбохозяйственному комплексу;30.01.2008;декабрь 2012;NIKondratenko@council.gov.ru;692-43-29,986-65-91;350063, г. Краснодар, ул. Красная, д. 3;(8-861-2) 62-20-55;279941
Коровников;Александр;Венидиктович;30.04.1955;Представитель от исполнительного органа государственной власти Новгородской области;Заместитель председателя Комитета Совета Федерации по социальной политике и здравоохранению, Член Комиссии Совета Федерации по взаимодействию со Счетной палатой Российской Федерации;16.11.2007;август 2012;AVKorovnikov@council.gov.ru;692-17-88,986-63-54;;;280052
Косарев;Николай;Валентинович;10.11.1950;Представитель от законодательного (представительного) органа государственной власти Тамбовской области;Заместитель председателя Комитета Совета Федерации по природным ресурсам и охране окружающей среды, Член Комиссии Совета Федерации по естественным монополиям;29.12.2001;март 2011;NVKosarev@council.gov.ru;692-03-27,986-67-88;392017, Тамбов, ул.Интернациональная, д.14;(8-475-2)  71-23-70, факс 71-07-72;280100
Кулаков;Владимир;Григорьевич;23.04.1944;Представитель от исполнительного органа государственной власти Воронежской области;Заместитель председателя Комиссии Совета Федерации по взаимодействию со Счетной палатой Российской Федерации, Член Комитета Совета Федерации по вопросам местного самоуправления;13.05.2009;март 2014;VGKulakov@council.gov.ru;692-23-60,986-65-74;;;279989
Кулаков;Владимир;Федорович;02.11.1948;Представитель от исполнительного органа государственной власти Магаданской области;Председатель Комиссии Совета Федерации по контролю за обеспечением деятельности Совета Федерации, Член Комиссии Совета Федерации по Регламенту и организации парламентской деятельности, Член Комитета Совета Федерации по делам Севера и малочисленных народов;01.11.2000;февраль 2013;VFKulakov@council.gov.ru;692-80-54,986-60-44;685000, Магадан,, пл.Горького, д.6, каб.221;(8-413-22)  2-55-45;280035
Лавров;Андрей;Иванович;26.03.1962;Представитель от Рязанской областной Думы;Первый заместитель председателя Комиссии Совета Федерации по физической культуре, спорту и развитию олимпийского движения, Член Комитета Совета Федерации по бюджету;08.06.2005;март 2010;AILavrov@council.gov.ru;697-82-47,986-69-78;;;280082
Лебедев;Леонид;Леонидович;02.05.1956;Представитель от законодательного (представительного) органа государственной власти  Чувашской Республики;Заместитель председателя Комитета Совета Федерации по экономической политике, предпринимательству и собственности, Член Комиссии Совета Федерации по естественным монополиям;10.09.2002;октябрь 2011;LLLebedev@council.gov.ru;692-10-67,986-62-75;428004, г. Чебоксары, Президентский б-р, д.10, ком. 7-8;(8-835-2)   тел./факс 62-04-81;279933
Леонов;Виктор;Васильевич;06.08.1952;Представитель от законодательного (представительного) органа государственной власти Новосибирской области;Заместитель председателя Комитета Совета Федерации по делам Федерации и региональной политике, Заместитель председателя Комиссии Совета Федерации по культуре;25.01.2006;октябрь 2010;VVLeonov@council.gov.ru;692-76-05,986-66-42;630011, г. Новосибирск, ул. Кирова, д.3;(8-383) 223-27-03, факс 210-02-70;280055
Лисовский;Сергей;Федорович;25.04.1960;Представитель от Курганской областной Думы;Первый заместитель председателя Комитета Совета Федерации по аграрно-продовольственной политике и рыбохозяйственному комплексу, Член Комиссии Совета Федерации по информационной политике;29.06.2004;март 2010;SFLisovsky@council.gov.ru;692-67-32,986-66-23;640000, г. Курган, ул. Гоголя, д.61/2;(8-352-2) 46-72-86;280020
Литюшкин;Владимир;Васильевич;19.10.1948;Представитель от законодательного  (представительного) органа государственной власти Республики Мордовия;Первый заместитель председателя Комитета Совета Федерации по делам Содружества Независимых Государств, Член Комиссии Совета Федерации по взаимодействию со Счетной палатой Российской Федерации, Член Комиссии Совета Федерации по Регламенту и организации парламентской деятельности;03.12.2004;декабрь 2011;VVLitjushkin@council.gov.ru;692-46-55,986-67-17;430002, г. Саранск, Советская, д.26;(8-834-2) 32-79-24;279913
Лопатников;Виктор;Алексеевич;30.12.1941;Представитель от исполнительного органа государственной власти Республики Алтай;Заместитель председателя Комитета Совета Федерации по делам Севера и малочисленных народов, Член Комиссии Совета Федерации по контролю за обеспечением деятельности Совета Федерации;03.03.2006;январь 2014;VALopatnikov@council.gov.ru;203-82-65, 629-06-83,986-67-32;659700, г. Горно-Алтайск, ул. Эркемена Палкина, д. 1, комн. 320;(8-388-22) 2-26-40;279880
Лоторев;Александр;Николаевич;10.09.1948;Представитель от законодательного (представительного) органа государственной власти Тюменской области;Заместитель председателя Комитета Совета Федерации по природным ресурсам и охране окружающей среды, Член Комиссии Совета Федерации по делам молодежи и туризму, Член Комиссии Совета Федерации по вопросам развития институтов гражданского общества;07.12.2005;март 2012;ANLotorev@council.gov.ru;692-67-09,986-65-28;625018, г. Тюмень ул. Республики, д.52, Дом Советов, к. 532;(8-345-2) 46-32-61;280112
