Название;Регион;Район;Населённый пункт;Адрес;Широта;Долгота;Телефоны;Время работы
"ГУЗ ""Республиканская станция переливания крови""";Республика Алтай;Горно-Алтайский;Горно-Алтайск;г. Горно-Алтайск, ул. Шоссейная, д. 23;51.958118;85.971291;(38822) 22-963;пн-пт 9.00-12.00
"МУ ""Центральная  больница г. Ноябрьск""";Ямало-Ненецкий АО;Ноябрьск;Ноябрьск;г. Ноябрьск, ул. Муравленкова, 42-б;63.177385;75.411415;(3496) 35-01-70, 32-15-20;пн-пт 8.00-15.00
"ГУЗ ""Республиканская станция переливания крови""";Республика Северная Осетия (Алания);Владикавказ городской округ;Владикавказ;г. Владикавказ, ул. Барбашова, 37;43.031231;44.675770;(8672) 52-87-04, 52-60-59, 52-23-96;пн-пт 9.00-14.00
Филиал №1;Вологодская область;Сокольский;Сокол;г. Сокол, ул. Советская, 50;59.460339;40.139351;(81733) 2-22-90;пн-пт 8.00-12.00
Филиал №2;Вологодская область;Великиоустюжский;Великий Устюг;г. Великий Устюг, ул. Водников, 2;60.763229;46.307789;(81738) 2-32-62;пн-пт 8.00-12.00
"МУЗ ""Клинцовская ЦГБ""";Брянская область;Клинцовский;Клинцы;г. Клинцы, пр-т Ленина, 58;52.758732;32.256031;(48336) 5-64-89;ср, чт 8.00 - 15.00
"ГУЗ ""Сызранская станция переливания крови""";Самарская область;Сызранский;Сызрань;г. Сызрань, ул. Солнечная, д. 40;53.173111;48.469280;(8464) 35-79-63, 35-71-85;пн-пт 8.00-14.00
ГУЗ «Республиканская станция переливания крови» Министерства здравоохранения и социального развития Чувашской Республики;Чувашская Республика;Чебоксары;Чебоксары;г. Чебоксары, ул. Пирогова, 9;56.138013;47.24247;(8352) 45-39-84, 45-56-59, 45-39-08;пн-пт 8.00-13.00
Отделение забора крови №3;Ярославская область;Ярославль;Ярославль;г. Ярославль, ул. Здоровья, 10;57.73244;39.815083;(4852) 38-28-35;вт,чт 8.00-12.00
"ОГУЗ ""Ненецкая окружная больница""";Ненецкий АО;Нарьян-Марский;Нарьян-Мар;г. Нарьян- Мар, ул. Ленина, 4;67.669144;53.082001;(81853) 4-20-86, 6-50-61, 4-06-80;пн,чт 8.00-9.00
"ГУЗ ""Санкт-Петербургская ГБ №31""";Санкт-Петербург;Санкт-Петербург;Санкт-Петербург;пр-т Динамо, 3;59.971163;30.280047;(812) 235-49-66, 235-21-11;пн-пт 9.00-12.00
"ГУЗ ""Городской клинический онкологический диспансер""";Санкт-Петербург;Санкт-Петербург;Санкт-Петербург;пр-т Ветеранов, 56;59.836765;30.238963;(812) 756-99-00, 752-95-54;пн-чт 9.00-12.00
"ГУЗ ""Тольятинская  областная станция переливания крови""";Самарская область;Ставропольский;Тольятти;г. Тольятти, Московский проспект, 19;53.531021;49.263259;(8482) 77-71-01;пн-пт 7.30-13.30
Слободское ОПК;Кировская область;Слободской;Слободской;г. Слободской, ул. Советская, 90;58.723862;50.176128;(83334) 5-05-41;пн-пт 8.00-16.00, забор крови по предварительной записи
"Филиал №5 ГУЗ ""ЛОСПК""";Ленинградская область;Лодейнопольский район;Лодейное Поле;Лодейнопольский район, г. Лодейное Поле, ул. Гагарина, 1;60.731585;33.56389;(81364) 2-04-54;ср 9:00-12:00
"ГУЗ ""Вологодская областная станция переливания крови № 2""";Вологодская область;Череповецкий;Череповец;г. Череповец, ул. Беляева, 51;59.124697;37.998962;+7(8202) 221-58-24;пн-пт 8.00-12.00
"ГУЗ ""Волгоградская областная СПК 3""";Волгоградская область;Михайловка городской округ;Михайловка;г. Михайловка, ул. Щорса, 2;50.064720;43.257641;(84463) 2-35-75, 2-16-01;пн-пт 8.00-13.00
Александров;Владимирская область;Александровский;Александров;г. Александров, ул. Революции, 34;56.396759;38.724190;(09244) 2-00-45;пн-пт 8.00-16.30
"МУЗ ""Шебекинская ЦРБ""";Белгородская область;Шебекинский;Шебекино;г. Шебекино, ул. Ленина, 46;50.403488;36.888039;(47248) 2-28-57, 2-36-54;вт, ср 9.00-12.00
"МУЗ ""Лиманская ЦРБ""";Астраханская  область;Лиманский;пос. Лиман;п. Лиман, ул. Ленина, 58;45.780319;47.220009;(85147) 2-12-02;вт,чт 8.00-12.00
"МУЗ ""Галичская ГБ""";Костромская область;Галичский;Галич;г. Галич, ул. Фестивальная, 1;58.377209;42.337372;(49437) 2-26-94, 2-10-05;ср,пт 8.00-13.00
"МУЗ ""Апатинская ЦГБ""";Мурманская область;Апатитский;Апатиты;г. Апатиты, ул. Бредова, 18;67.579620;33.390980;(81555) 6-80-31;пн-пт 8.00-13.00
Отделение заготовки крови №8;Свердловская область;Талицкий;Талица;г. Талица, ул. Кузнецова, 54;57.008179;63.718288;(34371) 2-13-69;пн-пт 8.00-14.00
"МУЗ ""Баунтовская ЦРБ""";Республика Бурятия;Бауновский район;п. Багдарин;Баунтовский р-он, п. Багдарин, ул. Ленина, 127;54.444580;113.587677;(30153) 5-11-17, 4-16-12;пн-пт 8.00-16.30
"МУЗ ""КБ №4""";Волгоградская область;Волгоград городской округ;Волгоград;г. Волгоград, ул. Дзержинского, 28;48.805462;44.594411;(8442) 74-01-71;вт,чт 8.00-12.00
"МУЗ ""Кяхтинская ЦРБ""";Республика Бурятия;Кяхтинский район;Кяхта;г. Кяхта, ул. Ленина, 89;50.354092;106.443230;(30142) 9-14-04, 9-15-01;пн-пт 8.00-16.30
"МУЗ ""Петропавловская ЦРБ""";Республика Бурятия;Джидинский район;с. Петропавловка;Джидинский р-он, с. Петропавловка, ул. Ленина, 5;52.039181;108.475838;(30134) 4-13-31, 4-18-98;пн-пт 8.00-16.30
"Филиал №6 ГУЗ ""ЛОСПК""";Ленинградская область;Тихвинский район;Тихвин;г. Тихвин, ул Карла Маркса, д. 68;59.639667;33.51634;(81367) 7-73-02;вт 8:00-10:00
"Филиал №3 ГУЗ ""ЛОСПК""";Ленинградская область;Гатчинский район;Гатчина;Гатчинский район, г. Гатчина, ул. Рощинская, 5;59.56001;30.139246;(81371) 3-51-57;пн 9.00-12.00
Буйнакская станция переливания крови;Республика Дагестан;Буйнакский район;Буйнакск;г. Буйнакск, ул. Ленина, 85;42.820629;47.117901;"(87237) 2-50-70; 2-13-51";пн-пт 8.30-14.00
Хасавюртовская станция переливания крови;Республика Дагестан;Хасавюртский район;Хасавюрт;г. Хасавюрт, ул. Алиева, 21;43.246769;46.589390;(87231) 0-34-32;пн-пт 8.30-14.00
ЦГБ г. Каспийск;Республика Дагестан;Каспийский район;Каспийск;г. Каспийск, ул. А. Алиева, 2;42.882751;47.638249;"(87246) 5-11-96; ОПК: 6-64-72";пн-пт 8.30-13.00
"ГУ ""Сунженская ЦРБ""";Республика Ингушетия;Сунженский;ст. Орджоникидзевская;ст. Орджоникидзевская, ул. Оксанова, 5;43.320270;45.053620;(8734) 72-20-88, 72-16-59;пн-пт 9.00-15.00
ЦГБ г. Кизляр;Республика Дагестан;Кизлярский район;Кизляр;г. Кизляр, ул. Победы, 48;43.844650;46.718689;(87239) 2-30-41;пн-пт 8.30 - 13.00
ЦГБ г. Кизилюрт;Республика Дагестан;Кизилюртский район;Кизилюрт;г. Кизилюрт, ул. Аскерханова,11;43.201820;46.877560;(87234) 2-24-12;пн-пт 8.30 - 13.00
Республиканская КБ;Республика Дагестан;Махачкалинский район;Махачкала;г. Махачкала, ул. Ляхова, 47;42.973718;47.49675;"(8722) 67-90-07; 99-01-00; 67-58-92; 99-01-39, 67-58-92";пн-пт 8.30 - 13.00
Республиканская больница №2;Республика Дагестан;Махачкалинский район;Махачкала;г. Махачкала, ул. Пирогова, 3;42.975286;47.492263;"(8722) 62-06-64; 67-72-20";пн-пт 8.30 - 13.00
ЦГБ г. Дербент;Республика Дагестан;Дербентский район;Дербент;г. Дербент, ул. Буйнакского, 43;42.057831;48.300480;(87240) 4-73-88, 4-82-31, 2-28-81;пн-пт 8.30 - 13.00
"ГУ ""ЦРБ г. Малгобек""";Республика Ингушетия;Малгобекский;Малгобек;г. Малгобек, ул. Гарданова, 3;43.511780;44.604252;(8734) 62-36-79, 62-34-96;пн-пт 9.00-15.00
"Филиал №3 ""ВОСПК"" Электроника";Воронежская область;Воронеж городской округ;Воронеж;г. Воронеж, ул. Минская, д. 43;51.679574;39.270328;(4732) 96-17-51;пн-пт 8.00 - 14.00
"Филиал №4 ""ВОСПК""";Воронежская область;Бобровский;Бобров;г. Бобров, ул. Гагарина, д. 333;51.092110;40.035061;(47350) 4-82-14;пн-пт 8.00 - 14.00
"Филиал №5 ""ВОСПК""";Воронежская область;Бутурлиновский;Бутурлиновка;г. Бутурлиновка, ул. 3 Интернационала, д. 1а;50.830631;40.586498;(47361) 2-11-10;пн-пт 8.00 - 14.00
"Филиал №6 ""ВОСПК""";Воронежская область;Калаченский;Калач;г. Калач, ул. Борцов Революции, д. 20;50.424610;41.025509;(47363) 2-21-57;пн-пт 8.00 - 14.00
"Филиал №7 ""ВОСПК""";Воронежская область;Острогожский;Острогожск;г. Острогожск, ул. Кузнецова, д. 92;50.859982;39.072781;(47375) 4-19-26;пн-пт 8.00 - 14.00
"Филиал №8 ""ВОСПК""";Воронежская область;Павловский;Павловск;г. Павловск, ул. Переулок Лесной., д. 1а;50.460651;40.103111;(47362) 3-18-10;пн-пт 8.00 - 14.00
"Филиал №9 ""ВОСПК""";Воронежская область;Россошский;Россошь;г. Россошь, ул. Пролетарская, д. 60;50.204361;39.538700;(47396) 2-05-10;пн-пт 8.00 - 14.00
"МУЗ ""ГБ г. Муравленко""";Ямало-Ненецкий АО;Муравленко;Муравленко;г. Муравленко, ул Академика Губкина, 24;63.776813;74.518089;(34938) 2-74-80, 2-77-20;пн-пт 8.00-15.00
"ГУЗ ""Воркутинская станция переливания крови""";Республика Коми;Воркута городской округ;Воркута;г. Воркута, ул. Гагарина, 10-а;67.485046;64.029739;(82151) 6-32-90, 6-32-66;пн-пт 8.00-12.00
"ГУЗ ""Ухтинская станция переливания крови""";Республика Коми;Ухта городской укруг;Ухта;г. Ухта, ул. Горького, 11;63.569611;53.672981;(82147) 6-35-07;пн-пт 8.00-12.00
"ГУЗ ""Печорская станция переливания крови""";Республика Коми;Печора муниципальный район;Печора;г. Печора, ул. Речная, 9;65.144493;57.228489;(82142) 7-41-14;пн-пт 8.00-12.00
ХМАО-Югры «Окружная станция переливания крови»;Ханты-Мансийский АО;Ханты-Мансийский;Ханты-Мансийск;г. Ханты-Мансийск ул. Калинина, 40,;61.000969;69.005885;(34673) 9-02-18;пн-пт 9.00-13.00
БУ «Сургутская станция переливания крови»;Ханты-Мансийский АО;Сургутский;Сургут;г. Сургут, проезд Дружбы, 4,;61.258728;73.399601;(3462) 37-68-08;пн-пт 9.00-13.00
МЛПУ «Когалымская городская больница»;Ханты-Мансийский АО;Когалым;Когалым;г. Когалым, ул. Молодежная, 19;62.241439;74.525013;(8-34667) 2-32-20, 2-33-55;пн-пт 9.00-13.00
МУ «Центральная районная больница Кондинского района»;Ханты-Мансийский АО;Кондинский;Междуреченский пгт;пгт. Междуреченский, ул. Кондинская, 3;59.59941;65.876026;(34677) 3-31-54, 3-21-10;пн-пт 9.00-13.00
Няганская окружная больница;Ханты-Мансийский АО;Нягань;Нягань;г. Нягань, ул. Загородных, 12;62.135446;65.381584;(34672) 3-96-18;пн-пт 9.00-13.00
ММУ «Октябрьская центральная районная больница»;Ханты-Мансийский АО;Октябрьский;Октябрьское;пгт. Октябрьское, ул. Медицинская-3;62.46209;66.010265;(34678) 2-01-18;пн-пт 9.00-13.00
МЛПУ «ЦГБ г. Югорска»;Ханты-Мансийский АО;Югорск;Югорск;г. Югорск, ул. Попова, 29;61.317939;63.331318;(34675) 2-32-32, 6-78-00, 2-48-10;пн-пт 9.00-13.00
"ГУЗ ""Шадринская областная станция переливания крови""";Курганская область;Шадринский;Шадринск;г. Шадринск, ул. Михайловская, 112;56.087700;63.636089;(35253) 52-898;пн-пт 9.00-13.00
"МУЗ ""Раевская ЦРБ""";Республика Башкортостан;Альшеевский;пос. Раевский;Альшеевский р-н, п. Раевский, ул. Космонавтов, 1;54.046219;55.241329;8(34754) 3-16-74;2р. в нед. 8.00-12.00
ОПК МУЗ «Ахтубинская ЦРБ»;Астраханская  область;Ахтубинский;Ахтубинск;г.Ахтубинск, ул.Саратовская,38;48.290451;46.164341;(8512) 41-5-22-34;пн,ср,пт 8.00-12.00
ОПК МУЗ «Харабалинская ЦРБ»;Астраханская  область;Харабалинский;Харабали;г.Харабали, ул.Советская,108;47.404499;47.272412;(85148) 5-92-58, 5-14-05;пн,ср,пт 8.00-12.00
МУЗ «Красноярская ЦРБ»;Астраханская  область;Красноярский;с. Красный Яр;с.Красный Яр, ул. З.Ананьевой, 53;46.534149;48.342010;(85146) 9-15-63;вт,чт 8.00-12.00
"МУЗ ""Жуковская ЦРБ""";Брянская область;Жуковский;Жуковка;г. Жуковка, Первомайский пер., 19;53.538971;33.736180;(48334) 3-14-91, 3-38-39,  3-17-42;пн-пт 8.30-13.00
"МУЗ ""Станция скорой медицинской помощи""";Камчатский край;Елизовский район;Елизово;г. Елизово, ул. Вилюйская, 5;53.183159;158.382492;(41531) 6-17-57;пн-пт 8.00-12.00
"ММУ ""ЦРБ г. Вилючинска""";Камчатский край;Вилючинский район;пос. Вилючинск;г. Вилючинск, ул. Победы, 1а;52.939831;158.409012;(41535) 3-19-79;пн,ср 8.30-14.00
"Канашское отделение ГУЗ ""РСПК""";Чувашская Республика;Канашский;Канаш;г. Канаш, ул. 30 лет Чувашии, 13;55.505821;47.499361;(83533) 2-24-50, 2-18-11;пн-пт 8.00-13.00
Вятско-Полянское ОПК;Кировская область;Вятско-Полянский;Вятские Поляны;г. Вятские Поляны, ул. Лермонтова, 2;56.221481;51.072689;(83334) 6-45-55;пн-пт 8.00-16.00, забор крови по предварительной записи
Котельничское ОПК;Кировская область;Котельничий;Котельнич;г. Котельнич, ул. Октябрьская, 158А;58.303742;48.327911;(83342) 4-18-48, 4-09-30;пн-пт 8.00-16.00, забор крови по предварительной записи
"ГУЗ ""Станция переливания крови г. Стерлитамак""";Республика Башкортостан;Стерлитамакский;Стерлитамак;г. Стерлитамак, ул. Коммунистическая, 89а;53.622341;55.957580;(3473) 24-36-58;пн-пт 8.00-13.00
"ГУЗ ""Станция переливания крови г. Октябрьский""";Республика Башкортостан;Октябрьский;Октябрьский;г. Октябрьский, ул. Островского, 3;54.485050;53.455422;(34767) 5-40-55, 5-38-12;пн-пт 8.00-13.00
"МУЗ ""ЦГБ ГО г. Нефтекамск""";Республика Башкортостан;Нефтекамский;Нефтекамск;г. Нефтекамск, ул. Паркова, 31;56.091728;54.261661;(34783) 5-37-54, 5-72-28;пн-пт 8.00-13.00
"ГОУ ВПО ""Башкирский государственный медицинский университет""";Республика Башкортостан;Уфимский;Уфа;г. Уфа, ул. Шафиева, 2;54.765357;55.993860;(3472) 23-11-33, 23-11-42;2р. в нед. 9.00 - 12.00
"ГУЗ ""Республиканская КБ им. Г. Г. Куватова""";Республика Башкортостан;Уфимский;Уфа;г. Уфа, ул. Достоевского, 132;54.732823;55.967875;(3472) 72-27-86, 28-77-77;пн-пт 8.00-12.00
"ГУЗ ""Республиканский клинический онкологический диспансер""";Республика Башкортостан;Уфимский;Уфа;г. Уфа, Проспект Октября, 73/1;54.763302;56.010092;(3472) 37-36-62, 37-30-13;3р. в нед. 8.00-13.00
"ГУЗ ""Республиканская детская КБ""";Республика Башкортостан;Уфимский;Уфа;г. Уфа, ул. Ст. Кувыкина, 98;54.699779;55.995126;(3472) 55-74-26, 54-88-84;4р. в нед. 8.00-12.00
"МУ ""Роддом №3""";Республика Башкортостан;Уфимский;Уфа;г. Уфа, ул. Кольцевая, 131;54.816637;56.103401;(3472) 64-69-61;2р. в нед. 8.00 - 12.00
"МУЗ ""ЦРБ г. Кумертау""";Республика Башкортостан;Кумертауский;Кумертау;г. Кумертау, ул. Советская, 39;52.769329;55.793469;(34761) 4-17-00, 4-34-33;пн-пт 8.00-12.00
"МУЗ ""ЦРБ г. Белорецк""";Республика Башкортостан;Белорецкий;Белорецк;г. Белорецк, ул. 5 июля, 6;53.967201;58.416611;(34792) 4-03-20, 5-07-88;2р. в нед. 8.00 - 12.00
"МУ ""ГБ №2 г. Салават""";Республика Башкортостан;Салаватский;Салават;г. Салават, ул. Калинина, 65а;53.359249;55.929920;(3476) 33-83-10;пн-пт 8.00-13.00
"МУЗ ""ЦРБ г. Туймазы""";Республика Башкортостан;Туймазский;Тумайзы;г. Туймазы, ул. Ленина, 1;54.601742;53.725471;(34782) 4-27-54, 6-22-54;3р. в нед. 8.00-12.00
"МУЗ ""ЦРБ г. Ишимбай""";Республика Башкортостан;Ишимбайский;Ишимбай;Г. Ишимбай, ул. Стахановская, 75;53.452728;56.034340;(34794) 2-60-15;2р. в нед. 8.00-12.00
"МУ ""ЦГБ г. Учалы""";Республика Башкортостан;Учалский;Учалы;г. Учалы, ул. Муртазина, 27;54.305431;59.444771;(34791) 3-64-85, 6-06-47;2р. в нед. 8.00-12.00
"МУ ""ЦБ г. Белебей""";Республика Башкортостан;Белебейский;Белебей;г. Белебей, ул. Революционеров, 6;54.107399;54.127960;(34786) 3-17-94, 3-04-67;2р. в нед. 8.00-12.00
"МУЗ ""ЦРБ г. Бирск""";Республика Башкортостан;Бирский;Бирск;г. Бирск, ул. Коммунистическая, 120;55.417511;55.545200;(34784) 2-25-31, 2-37-15;пн-пт 10.00-13.00
"МУЗ ""ЦГБ г. Сибай""";Республика Башкортостан;Сибайский;Сибай;г. Сибай, ул. Чайковского, 24;52.710079;58.663700;(34775) 3-35-81, 2-26-72;2р. в нед. 8.00-12.00
"МУ ""Баймакская ЦРБ""";Республика Башкортостан;Баймакский;Баймак;г. Баймак, ул. Мира, 1;52.589642;58.321442;(34751) 3-14-46, 2-14-43;2р. в нед. 8.00-12.00
"МУЗ ""Давлекановская ЦРБ""";Республика Башкортостан;Давлекановский;Давлеканово;Давлеканово, ул.Заводская, 9;54.212719;55.017109;(34768) 3-20-06, 3-25-06;2р. в нед. 8.00-11.00
"МУЗ ""Дюртюлинская ЦРБ""";Республика Башкортостан;Дюртюлский;Дюртюли;Дюртюли, ул.Ленина, 27;55.480530;54.871509;(34787) 2-10-54, 2-24-70;3р. в нед. 9.00-12.00
"МУЗ ""Янаульская ЦРБ""";Республика Башкортостан;Янаулский;Януал;Янаул, ул.Давлетшина, 23;56.280769;54.933048;(34760) 2-30-96, 5-16-63;2р. в нед. 9.00 - 11.00
"МУ ""Бижбулякская ЦРБ""";Республика Башкортостан;Бижбулякский;с. Бижбуляк;с.Бижбуляк, ул.Центральная, 27;53.703461;54.275799;(34743) 2-12-62, 2-17-89;2р. в нед. 9.00 - 10.00
"МУЗ ""Мраковская ЦРБ""";Республика Башкортостан;Мраковский;с. Мраково;с.Мраково, ул.Ленина, 52;52.720730;56.630730;(34789) 2-16-03, 2-26-73;2р. в нед. 9.30 - 11.00
"МУ ""Миякинская ЦРБ""";Республика Башкортостан;Киргиз-Миякский;с. Киргиз-Мияки;с.Киргиз-Мияки, ул.Советская, 12;53.633709;54.797420;(34788) 2-14-18, 2-13-46;2р. в нед. 10.00-11.30
"МУЗ ""Акъярская ЦРБ""";Республика Башкортостан;Акъярский;с. Акъяр;с.Акъяр, ул.Батанова, 9;51.859348;58.221310;(34758) 2-11-40, 2-11-48;2р. в нед. 9.30 - 11.00
"МУ ""Месягутовская ЦРБ""";Республика Башкортостан;Месягутовский;с. Месягутово;с.Месягутово. ул.Октябрьская, 36;55.538010;58.251839;(34798) 2-19-66, 2-12-20;2р. в нед. 9.00-11.00
"ГУЗ ""Станция переливания крови №6""";Краснодарский край;Армавирский;Армавир;г. Армавир, ул. Ленина, д. 107;44.996361;41.120628;(86137) 3-34-64;пн-пт 8.30-13.00
"ГУЗ ""Станция переливания крови №2""";Краснодарский край;Белореченский;Белореченск;г. Белореченск, ул. Толстого, 160;44.754250;39.885448;(86155) 3-32-77;пн-пт 8.30-12.00
"ГУЗ ""Станция переливания крови №5""";Краснодарский край;Ейский;Ейск;г. Ейск, ул. Энгельса, 156;46.691879;38.285641;(86132) 3-20-03;пн-чт 8.00-12.00
"ГУЗ ""Станция переливания крови №3""";Краснодарский край;Кореновский;Кореновск;г. Кореновск, ул. Новые планы,. 8;45.459560;39.453602;(86142) 4-08-50, 4-49-06;пн-пт 8.00-12.00
"ГУЗ ""Станция переливания крови №4";Краснодарский край;Новороссийский;Новороссийск;г. Новороссийск, ул. Видова, 87а;44.725729;37.756276;(8617) 21-01-11;пн-пт 7.30-11.00
"МУЗ ""Станция переливания крови г. Сочи""";Краснодарский край;Сочинский;Сочи;г. Сочи, ул. Дмитриевой, 34;43.577655;39.741411;(8622) 62-85-82, 62-87-17;пн-пт 8.00-13.00
"МУЗ ""ГБ г. Анапа""";Краснодарский край;Анапский;Анапа;г. Анапа, ул. Крымская, 24;44.889642;37.308401;(86133) 5-61-23, 5-00-68;пн,чт 9.00-13.00, пт 9.00-11.00
"МУЗ ""ЦРБ Апшеронского р-на""";Краснодарский край;Апшеронский;Апшеронск;г. Апшеронск, ул. Социалистическая, 1;44.469681;39.730240;(86152) 2-88-23, 2-10-11, 2-75-34;пн,чт 8.00-10.00
"Филиал ОГУЗ ""Ангарская  ОСПК""";Иркутская область;Куйтунский район;п. Куйтун;Ангарский район, п. Куйтун, ЦРБ;54.356899;101.511841;(8236) 4-20-24;
"Филиал №1 ГУЗ ""Иркутская ОСПК""";Иркутская область;Саянский район;Саяннск;г. Саянск, мкр. Благовещенский, 5А;54.119099;102.177383;(39553) 5-24-84;
"Филиал №2 ГУЗ ""Иркутская ОСПК""";Иркутская область;Шелеховский район;Шелехов;г. Шелехов, ул. Ленина, 24;52.209210;104.091019;(39550) 4-29-06;
"ГУЗ ""Краевая КБ №1""";Хабаровский край;Хабаровский;Хабаровск;г. Хабаровск, ул. Краснодарская, 9;48.515510;135.104499;(4212) 27-22-72;пн-пт 8.30-13.30
"ГУЗ ""Краевой КЦ онкологии""";Хабаровский край;Хабаровский;Хабаровск;г. Хабаровск, Воронежское ш., 164;48.461425;135.082483;(4212) 41-06-48;пн-пт 8.30-13.30
"ГУЗ ""Амурский центр организации специализированных видов медицинской помощи""";Хабаровский край;Амурский;Амурск;г. Амурск, пр-т Строителей, 21;50.225780;136.907104;(42142) 2-79-38;пн-пт 9.00-13.30
"ГУЗ ""Вяземский центр организации специализированных видов медицинской помощи""";Хабаровский край;Вяземский;Вяземский;г. Вяземский, ул. Студенческая, 1-а;47.525089;134.757446;(42153) 3-14-30;пн-пт 9.00-13.00
"МУЗ ""ЦРБ Абинского района""";Краснодарский край;Новороссийский;Новороссийск;г. Новороссийск, ул. Мира, 1;44.723015;37.775266;(86150) 5-33-62, 5-32-69, 5-24-78;вт,чт 8.00-12.00
"МУЗ ""ЦРБ Брюховецкого р-на""";Краснодарский край;Брюховецкий;ст Брюховецкая;ст. Брюховецкая, ул. Ленина, 72;45.814270;39.000038;(86156) 2-25-19, 3-29-69, 3-22-33;пн,чт 8.30-11.00
"МУЗ ""ГБ г. Геленджика""";Краснодарский край;Геленджикский;Геленджик;г. Геленджик, ул. Луначарского, 176;44.581206;38.064494;(86141) 3-38-37, 3-38-31;вт, чт 8.00-11.00
"МУЗ ""ЦРБ администраци г. Горячий Ключ""";Краснодарский край;Горячеключинский;Горячий Ключ;г. Горячий Ключ, ул. Жемчужная, 35;44.630459;39.145828;(86159) 4-17-44, 3-57-35, 3-78-24;пн,чт 8.00-14.00
